identity,count,first_height,last_height,height_count,suggested_group,confidence,reason
Matthew Simon Grimm,5,650000,750000,3,Individuals,high,Person-labeled identity.
Pocketrocketscasino.eu,5,300000,300000,1,"Casinos, betting, and gaming",high,Casino brand.
Vilcov.com,5,500000,700000,5,"Exchanges, brokerages, and custody services",low,Service-domain label; provisional exchange bucket.
Ali Khorashadizadeh,4,300000,450000,4,Individuals,high,Person-labeled identity.
AllCrypt.com,4,300000,300000,1,"Exchanges, brokerages, and custody services",high,Exchange-style brand.
Bitsler,4,650000,800000,4,"Casinos, betting, and gaming",high,Dice/casino brand.
Busha,4,650000,850000,4,"Exchanges, brokerages, and custody services",high,Brokerage/exchange brand.
Comkort,4,300000,300000,1,"Exchanges, brokerages, and custody services",low,Exchange-style label; provisional venue bucket.
Graviex,4,650000,850000,4,"Exchanges, brokerages, and custody services",high,Exchange brand.
ICRPTEX,4,600000,750000,4,"Exchanges, brokerages, and custody services",medium,Exchange-style venue label.
JustCoin,4,300000,300000,1,"Exchanges, brokerages, and custody services",high,Exchange/brokerage brand.
Koinim,4,300000,300000,1,"Exchanges, brokerages, and custody services",high,Exchange/brokerage brand.
Livecoin.net,4,600000,650000,2,"Exchanges, brokerages, and custody services",high,Exchange brand.
Roobet,4,700000,850000,4,"Casinos, betting, and gaming",high,Casino / betting brand.
Scrypt.CC,4,300000,450000,4,"Hacks, scams, and ransomware",high,Known cloud-mining scam label.
Airtm,3,700000,800000,3,"Payments, wallets, and merchant services",medium,Consumer payments / wallet rails brand.
B2BX,3,750000,850000,3,"Institutions, funds, and corporates",medium,Institutional crypto liquidity/infrastructure branding.
BITFRONT,3,650000,750000,3,"Exchanges, brokerages, and custody services",high,Exchange brand.
Bitypreco,3,650000,750000,3,"Exchanges, brokerages, and custody services",medium,Brokerage/exchange branding.
Blocktrade,3,550000,650000,3,"Exchanges, brokerages, and custody services",high,Trading venue / exchange brand.
BTC2PM,3,750000,850000,3,"Payments, wallets, and merchant services",medium,Payments-style brand by naming.
BTCt.com,3,300000,300000,1,"Exchanges, brokerages, and custody services",low,Legacy venue-like label; provisional exchange bucket.
BTX,3,650000,800000,3,"Exchanges, brokerages, and custody services",low,Ticker-like venue label; provisional exchange bucket.
Exchanging.ir,3,300000,400000,3,"Exchanges, brokerages, and custody services",high,Exchange/currency-trading service by name.
Huobi Korea,3,600000,700000,3,"Exchanges, brokerages, and custody services",high,Regional exchange entity.
Klever,3,700000,800000,3,"Payments, wallets, and merchant services",medium,Wallet/app ecosystem branding.
Localcoin ATM,3,650000,750000,3,"Payments, wallets, and merchant services",high,Bitcoin ATM / payments rails.
Mirror Trading International Ponzi,3,650000,650000,1,"Hacks, scams, and ransomware",high,Ponzi / scam label.
NetEx24.net,3,650000,750000,3,"Exchanges, brokerages, and custody services",medium,Exchange-service branding.
Satoshi Circle,3,300000,300000,1,"Payments, wallets, and merchant services",medium,Wallet/payments-oriented naming.
Zipmex,3,650000,750000,2,"Exchanges, brokerages, and custody services",high,Exchange/brokerage brand.
999Dice.com,2,300000,300000,1,"Casinos, betting, and gaming",high,Dice gambling brand.
Actioncrypto.com,2,300000,300000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Anycoin Direct,2,800000,850000,2,"Exchanges, brokerages, and custody services",high,Brokerage/exchange brand.
ATAIX,2,650000,650000,1,"Exchanges, brokerages, and custody services",high,Exchange brand.
Bibox,2,650000,650000,1,"Exchanges, brokerages, and custody services",high,Exchange brand.
BitBlinx,2,650000,650000,1,"Exchanges, brokerages, and custody services",medium,Exchange-style venue label.
Bitcoinwallet.com,2,300000,300000,1,"Payments, wallets, and merchant services",high,Wallet-provider branding.
BitNZ,2,300000,300000,1,"Exchanges, brokerages, and custody services",high,Exchange brand.
Bittylicious,2,300000,300000,1,"Exchanges, brokerages, and custody services",high,Brokerage/exchange brand.
BitVenus,2,750000,750000,1,"Exchanges, brokerages, and custody services",high,Exchange brand.
Braziliex,2,650000,650000,1,"Exchanges, brokerages, and custody services",high,Exchange brand.
Coinmkt.com,2,300000,300000,1,"Exchanges, brokerages, and custody services",medium,Exchange-style market brand.
Cryptorush,2,300000,300000,1,"Exchanges, brokerages, and custody services",medium,Exchange-style venue branding.
Garantex,2,700000,750000,2,Darknet mixers and illicit services,high,Sanctioned illicit exchange-service cluster.
JetWin.com,2,300000,300000,1,"Casinos, betting, and gaming",high,Betting/gaming brand.
Jex.com,2,600000,800000,2,"Exchanges, brokerages, and custody services",high,Exchange brand.
LINE BITMAX,2,600000,650000,2,"Exchanges, brokerages, and custody services",high,Exchange venue brand.
MuchBetter,2,650000,650000,1,"Payments, wallets, and merchant services",medium,Consumer wallet/payments brand.
MyBookie,2,700000,750000,2,"Casinos, betting, and gaming",high,Sportsbook / betting brand.
Pintu,2,650000,700000,2,"Exchanges, brokerages, and custody services",high,Exchange/brokerage brand.
Pokemon Go PKG,2,650000,650000,1,"Institutions, funds, and corporates",low,Opaque package/service label; provisional institutions bucket.
Volabit,2,700000,750000,2,"Exchanges, brokerages, and custody services",high,Exchange/brokerage brand.
1xBet,1,750000,750000,1,"Casinos, betting, and gaming",high,Online betting brand.
777Coin.com,1,300000,300000,1,"Casinos, betting, and gaming",high,Casino / betting brand.
Alex Adrianus Martinus Peijnenburg,1,650000,650000,1,Individuals,high,Person-labeled identity.
Allcoin,1,300000,300000,1,"Exchanges, brokerages, and custody services",high,Exchange brand.
Ban Chai Low,1,700000,700000,1,Individuals,high,Person-labeled identity.
BetMoose,1,650000,650000,1,"Casinos, betting, and gaming",medium,"Brand name suggests betting, dice, casino, or gaming activity."
Bitango,1,300000,300000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
BitMarket.pl,1,300000,300000,1,"Exchanges, brokerages, and custody services",medium,"Label suggests an exchange, trading venue, brokerage, or custody provider."
Bitzlato,1,650000,650000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
BKEX,1,650000,650000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Bldj,1,700000,700000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
BNS,1,600000,600000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Brawker.com,1,300000,300000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
btcbank.com.ua,1,600000,600000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
C2Bit,1,700000,700000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Carlos C Dekker,1,700000,700000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Cash FX Group,1,700000,700000,1,"Payments, wallets, and merchant services",medium,"Label suggests wallet, payments, cash, ATM, or merchant rails."
Coinbox,1,650000,650000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
CoinFLEX,1,650000,650000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Coinlist,1,650000,650000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Coinsbit,1,750000,750000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Coinswap.cex,1,300000,300000,1,"Exchanges, brokerages, and custody services",medium,"Label suggests an exchange, trading venue, brokerage, or custody provider."
Delta,1,750000,750000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
eXch.cx,1,850000,850000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
ezDeFi,1,800000,800000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
FastEx,1,800000,800000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Hotbit,1,700000,700000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Indacoin.com,1,300000,300000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Jeffrey Paul Duprex,1,700000,700000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Keri David Taiaroa,1,700000,700000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Multichain,1,800000,800000,1,"Protocols, bridges, defi, and wrapped assets",medium,"Label indicates a protocol, network, DAO, bridge, or wrapped-asset system."
qmall,1,800000,800000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Reku,1,750000,750000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Ryan Farace,1,650000,650000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Satoshi Tango,1,650000,650000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Scalar Investments,1,700000,700000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Simplecoin.us,1,300000,300000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Sky,1,650000,650000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Stocks.Exchange,1,650000,650000,1,"Exchanges, brokerages, and custody services",medium,"Label suggests an exchange, trading venue, brokerage, or custody provider."
Tesseract Group,1,700000,700000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Thodex,1,650000,650000,1,"Exchanges, brokerages, and custody services",medium,"Label suggests an exchange, trading venue, brokerage, or custody provider."
Updown.bt,1,300000,300000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Whitney Ross,1,750000,750000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
Yellow Card,1,650000,650000,1,"Exchanges, brokerages, and custody services",low,Defaulting to exchange/custody bucket because most remaining labels are service venues; review recommended.
YOLO Dice,1,650000,650000,1,"Casinos, betting, and gaming",medium,"Brand name suggests betting, dice, casino, or gaming activity."
